,,,,,,,,,Features,,,,,,,,,,
Sl. No.,Common Name,Scientific Name,Family,Category,IUCN Status,Wildlife Protection Act schedule,Migratory Status,Local Bengali Name,Size (Aprox),Description,Male Description ,Female Description,Call (Audio Fiiles),Distribution,Range Map,Subspecies,Similar Species,Note,Gallery
1,Asian Brown Flycatcher,Muscicapa dauurica,Muscicapidae,Flycatcher,Least Concern (LC),Schedule-II,Migratory,পাটকিলে চুটকি ,13-15 cm,"The Asian Brown Flycatcher is a plain, medium-sized bird characterized by its overall brownish plumage, a prominent white eyering, and a large-eyed appearance. It has an unmarked throat and underparts, but juvenile birds display buff-spotted upperparts and a breast with faint scaling. The species has shorter, plainer wings compared to similar brown flycatchers and is known for flicking its tail and wings when perched. It prefers broadleaf forests and is often found in more open areas during migration.  ","Males may have a slightly more vivid or striking plumage, although this is not a consistent or significant difference.","Females may show a slightly paler or more grayish throat and a generally duller, more uniform underparts compared to males.",,"The Asian Brown Flycatcher is a breeding summer visitor to Sikkim, Arunachal Pradesh, and the northeast Indian states like Assam, Nagaland, Meghalaya, Manipur, and Mizoram. It winters in peninsular India, particularly the Western Ghats and the midlands of Southwest India, with some birds also found in the Andaman and Nicobar Islands. During the non-breeding season, it can also be found as a passage migrant throughout the peninsula and in parts of the Indo-Gangetic plains. ",,"Muscicapa dauurica dauurica
Muscicapa dauurica poonensis
Muscicapa dauurica siamensis","Taiga Flycatcher
Blue-throated Flycatcher",,
2,Asian Koel,Eudynamys scolopaceus,Cuculidae,Cuckoo,Least Concern (LC),Schedule-II,Migratory,কোকিল (Kokil),39-46 cm,"The Asian koel is a large, cuckoo-family bird recognized by its distinct sexual dimorphism: males are glossy black with a pale bill, while females are brown, speckled with white, and have cream-colored underparts with dark bars. Both sexes share striking crimson eyes and a long tail, but are generally secretive, found in dense trees across South and Southeast Asia, and are known for their characteristic loud ""ko-el"" call. A brood parasite, the koel lays its eggs in other birds' nests, often crows', leaving them to raise the young koel chicks. ",Plumage: Glossy blue-black. Eyes: Striking crimson. Bill: Dull lime-green or pale. Tail: Long.,"Plumage: Predominantly dark brown upperparts with pale streaks and spots. Her underparts are barred with creamy-white. Eyes: Striking crimson. Bill: Pale, similar to the male. Tail: Long.",,almost all over India,,"Eudynamys scolopaceus scolopaceus
Eudynamys scolopaceus chinensis
Eudynamys scolopaceus harterti 
Eudynamys scolopaceus malayanus 
Eudynamys scolopaceus corvinus
Eudynamys scolopaceus mindanensis ",,,
3,Asian Openbill,Anastomus oscitans,Ciconiidae,Stork,Least Concern (LC),Schedule-II,Local Migratory,শামুক খোল (Shamuk Khol),68 cm,"Asian Openbill is a medium-sized stork, known for its distinctive greyish-white plumage with glossy black wings and tail. Its most recognizable feature is the open gap between the upper and lower mandibles of its dull, yellow-grey bill, a unique adaptation for feeding on snails.",Males have dark-colored irises.,Females have yellow irises.,,"The Asian Openbill stork is widespread throughout India, especially in wetland and agricultural areas of the North Indian plains (from Gujarat to Assam), the East and South Indian Peninsula, West Bengal, and Kerala",,Monotype,,,
4,Alexandrine Parakeet,Psittacula eupatria,Psittaculidae,Parakeet,Least Concern (LC),Schedule-IV,Resident,চন্দনা ,53–58 cm,"The Alexandrine Parakeet, also known as the Alexandrine Parrot, is one of the largest parakeets in Asia. It has predominantly green plumage, a long tail tipped with yellow, and a large red beak with a paler tip. A distinctive maroon patch is present on the shoulders, and males display a rose-pink collar with a black stripe across the lower cheek. Females and juveniles lack the collar and are generally duller. This species is named after Alexander the Great, who is said to have transported these birds from Punjab to Europe. It inhabits forests, woodlands, plantations, and urban parks.","Males are bright green with a rose-pink collar and black cheek stripe, plus a maroon shoulder patch.","Females are duller, lack the collar and cheek stripe, and have shorter tails. Juveniles resemble females.","Loud, harsh screams and screeches, often heard in flight or when perched in flocks.","Native to South and Southeast Asia: widespread across India, Sri Lanka, Afghanistan, Pakistan, Myanmar, Thailand, and the Andaman Islands. Common in northern India and large flocks occur in the Andamans. Declining in Sri Lanka.",—,"P. e. eupatria, P. e. nipalensis, P. e. magnirostris, P. e. avensis, P. e. siamensis","Rose-ringed Parakeet (Psittacula krameri), Plum-headed Parakeet (Psittacula cyanocephala)",,
5,Ashy Woodswallow,Artamus fuscus,Artamidae,Woodswallow,Least Concern (LC),Schedule-IV,Migratory (partial),তালচটক,18–20 cm,"The Ashy Woodswallow, also called the Ashy Swallow-shrike, is a compact bird with ashy-grey plumage, a darker head, and a narrow pale rump band. Its underside is soft pinkish-grey, and the short tail is slaty black tipped with white. It has a silvery finch-like bill, long triangular wings, and short legs. Often seen perched in tight groups on wires or tall trees, especially palms. Juveniles show barring on the underside.","Males and females look alike, both showing the same ashy-grey plumage and maroon shoulder patch absent.",Females are indistinguishable from males; no sexual dimorphism noted.,"Loud, harsh chattering calls; soft twittering when in flocks.","Found across South Asia including India, Sri Lanka, Nepal, Bangladesh, Myanmar, and Thailand. Common in open country, farmlands, plantations, and urban areas.",—,No recognized subspecies; plumage uniform across range.,"Dusky Woodswallow (Artamus cyanopterus), White-breasted Woodswallow (Artamus leucorynchus)",,
6,Asian Green Bee-eater,Merops orientalis,Meropidae,Bee-eater,Least Concern (LC),Schedule-IV,Resident (with local movements),সবুজ বাঁশপাতি (Sabuj Bashpati) ,16–18 cm,"The Asian Green Bee-eater is a slender, brightly colored bird with vivid green plumage, long pointed wings, and elongated central tail feathers. It has a narrow black throat band, a golden-green crown, and a black eye-stripe that enhances its striking appearance. The bill is long, slightly curved, adapted for catching insects mid-air. Often seen perched on wires or exposed branches, it makes swift sallies to snatch bees, wasps, and other flying insects.",Males are similar to females but often show longer central tail streamers and slightly brighter plumage.,"Females are nearly identical to males, though tail streamers are shorter and plumage may appear a little duller.","Sharp, repetitive “trill” or “tree-tree” calls, often heard in flocks.","Widely distributed across South Asia, including India, Bangladesh, Sri Lanka, Pakistan, Nepal, and Myanmar. Common in open countryside, farmlands, scrublands, and urban areas.",—,"M. o. orientalis, M. o. ferrugeiceps, M. o. viridissimus, M. o. beludschicus","Blue-cheeked Bee-eater (Merops persicus), Little Green Bee-eater (Merops pusillus)",,
7,Asian Palm-Swift,Cypsiurus balasiensis,Apodidae,Swift,Least Concern (LC),Schedule-IV,Resident (with local movements),তাল চড়াই,13–15 cm,"The Asian Palm-Swift is a slender, fast-flying bird with long, narrow wings and a deeply forked tail. Its plumage is pale brownish-grey above and whitish below, blending well with open skies. It is closely associated with palm trees, where it builds nests attached to hanging fronds using saliva. The species is highly aerial, spending most of its life in flight, feeding on small insects caught mid-air.","Males and females are alike in plumage, both showing slender bodies and forked tails.",No sexual dimorphism; females resemble males.,"High-pitched twittering and rapid squeaky calls, often heard in flight.","Found widely across South and Southeast Asia, including India, Sri Lanka, Bangladesh, Myanmar, Thailand, Cambodia, and Vietnam. Common in open country, farmlands, and urban areas with palms.",—,"C. b. balasiensis, C. b. infumatus","Little Swift (Apus affinis), House Swift (Apus nipalensis)",,
8,Asian Pied Starling,Gracupica contra,Sturnidae,Starling,Least Concern (LC),Schedule-IV,Resident,গো শালিক / গোবরে শালিক,22–25 cm,"The Asian Pied Starling, also known as the Pied Myna, is a medium-sized bird with striking black-and-white plumage and a bright orange-red bill with a yellow base. It has a glossy black head, neck, and upperparts, contrasting with white face patches and underparts. The wings are black with white patches visible in flight, and the tail is black tipped with white. It is highly social, often seen in pairs or small flocks, and is known for its melodious, varied calls.","Males and females are similar in plumage, both showing the same black-and-white contrast and bright bill.",Females are indistinguishable from males; no sexual dimorphism noted.,"Rich, varied whistles, chatters, and melodious notes; often mimics other sounds.","Widely distributed across South Asia, including India, Nepal, Bangladesh, Sri Lanka, and Myanmar. Common in farmlands, villages, towns, and open countryside.",—,"G. c. contra, G. c. superciliaris, G. c. sordida, G. c. andamanensis","Common Myna (Acridotheres tristis), Bank Myna (Acridotheres ginginianus)",,
9,Asian Tit (Cinereous Tit),Parus cinereus,Paridae,Tit,Least Concern (LC),Schedule-IV,Resident,রূপালী টুই ,13–14 cm,"The Cinereous Tit, also known as the Asian Tit, is a small, active bird with a black head, throat, and bib, contrasting with white cheeks and underparts. Its upperparts are greyish, and the wings show pale edging. It is agile, often seen hopping among branches or hanging upside down while foraging for insects, seeds, and small fruits. It is a common garden and woodland bird, frequently visiting feeders and nesting in tree cavities or artificial nest boxes.",Males are similar to females but may show slightly glossier black plumage on the head and bib.,"Females resemble males, though the black bib may be narrower and less glossy.","Loud, varied calls including “chee-chee” notes and scolding chatter; also produces a rapid trill.","Widely distributed across South Asia, including India, Nepal, Bangladesh, Sri Lanka, and Myanmar. Found in gardens, forests, plantations, and urban areas.",—,"P. c. cinereus, P. c. stupae, P. c. mahrattarum, P. c. bokharensis","Great Tit (Parus major), Green-backed Tit (Parus monticolus)",,
